id,label,account_age_days,followers_count,following_count,post_frequency_per_day,avg_word_count_per_post,avg_hashtags_per_post,avg_sentiment_score,reply_to_post_ratio,urls_per_post_ratio,bio_complexity_score
u2026847926404610461,bot,419,25,6253,276.22,34,2,-1.0,0.03,0.73,0.16
u7839596180442651345,human,1425,1478,2087,4.99,14,0,-0.71,0.57,0.11,0.72
u3258728696626565719,bot,676,39211,671,252.89,5,1,1.0,0.05,0.68,0.14
u2287010195568088798,bot,93,10978,11517,404.55,30,5,1.0,0.05,0.85,1.0
u1945351111358374057,bot,70,12,8876,482.68,36,10,1.0,0.05,0.4,1.0
u7831454145019129197,human,2343,3843,1589,9.56,18,0,0.4,0.3,0.2,0.61
u6030118478018109776,bot,814,88,4287,128.21,6,5,-1.0,0.01,0.73,0.19
u6446332115853614978,bot,70,15905,5187,212.35,39,3,-1.0,0.97,0.78,0.08
u1293143515607798169,bot,722,71,5205,356.11,9,5,-1.0,0.87,0.64,0.04
u1864186096263678574,human,1602,6090,998,2.72,19,3,0.89,0.34,0.16,0.69
u3145917995920697483,bot,944,18937,1794,497.05,8,5,-1.0,0.8,0.56,0.15
u6552642720119322321,bot,55,15724,2641,270.35,9,5,1.0,0.95,0.63,1.0
u6176572018665656243,bot,975,86,4209,109.66,47,3,1.0,0.01,0.78,0.1
u7604115266222097961,bot,592,28274,8129,72.21,41,3,-1.0,0.91,0.87,1.0
u7468581141273039753,human,1446,693,443,8.67,16,0,0.09,0.51,0.07,0.46
u4869387381345962230,bot,671,23163,3076,54.06,8,4,1.0,0.95,0.7,0.05
u5143222138124291040,human,4639,3632,1377,7.52,25,1,0.23,0.47,0.05,0.56
u3565856380474498476,human,3174,4173,1875,2.29,17,0,-0.4,0.33,0.04,0.98
u9017880294935156107,human,3188,892,2969,7.42,18,2,-0.23,0.55,0.04,0.81
u7998762617471362847,bot,239,66,6436,83.89,5,5,-1.0,0.04,0.64,1.0
u2472597238169086909,human,1229,1035,1828,3.96,18,3,0.09,0.47,0.2,0.63
u4897929836277613434,bot,671,44028,-201,210.22,32,6,1.0,0.06,0.24,1.0
u3562910770574305398,human,1923,3512,279,9.24,16,1,-0.04,0.55,0.15,0.53
u2985918923296309552,human,4280,3329,1419,8.8,13,2,0.48,0.51,0.04,0.97
u8041990410826934883,human,3372,4789,642,6.39,14,1,-0.72,0.59,0.14,0.82
u1942723427174387577,human,3343,4655,-2978,7.27,19,0,0.22,0.36,0.0,1.0
