id,account_age_days,followers_count,following_count,post_frequency_per_day,avg_word_count_per_post,avg_hashtags_per_post,avg_sentiment_score,reply_to_post_ratio,urls_per_post_ratio,bio_complexity_score,label
u5272798802418388161,1523.4819247195678,273.0,3856.0,224.44,11.0,5.0,-0.99,0.91,0.88,0.69,1
u4593818579113302616,1655.0,274.0,0.0,23.96,27.0,0.0,0.61,0.494065336063991,0.33,1.21,0
u9380500167756234426,3100.0,4149.0,0.0,3.79,22.0,1.0,-0.11,0.6952476517570761,0.5714694374725418,0.65,0
u1486679646281563909,641.0,-1479.2708910058595,3270.0,65.74,39.0,10.0,1.4171857954095757,1.46842859685092,0.831440989388846,0.53,0
u8766846245146591166,1740.0,2529.0,435.0,-18.418400009823472,0.4239309787364149,0.0,0.37,0.908351736708348,0.45,0.86,0
u3597590058361948325,1710.0,2119.0,714.0,7.26,28.0,2.0,-0.41,0.58,0.23,0.72,0
u7941563197772488996,282.80062297190113,11586.0,997.0,178.41,7.0,0.0,0.17,0.6989572522029905,0.71,0.24,1
u5041591111347358747,2854.0,0.0,1838.0,-43.09796314488032,22.0,2.0,0.92,0.68,0.4,0.99,0
u3130884516332323930,160.0,-1742.2266294704075,4043.0,137.0140960222094,35.0,3.0,-0.19,0.98,0.94,0.5427101025498499,1
u4086636508859028297,1265.0,15937.0,6239.0,171.91819337750775,39.0,7.035717361341881,0.05,1.47,0.6105349765684426,0.26,1
u3784889311267401286,2262.0552510431894,4491.0,632.0,12.49,8.0,0.0,0.89,0.29,0.13,0.78,0
u4069181448854990259,1528.0,25159.0,3630.0,172.05062440291655,13.0,4.0,0.57,1.49,0.7,0.58,1
u5913202033190391120,1754.422989295852,0.0,95.0,51.07,23.0,1.0,-0.32,0.36,0.343596993231301,0.58,0
u1070338872939570719,0.0,652.0,820.0,57.953828709900726,12.0,2.0,0.8,0.53,0.4632938624057938,0.3450732684845222,0
u4808934926871066295,500.0,829.7670499715603,644.0,4.83,28.88260619716952,1.0,0.92,0.4598737700433017,0.12,0.4851831907926115,0
u9297404535212884028,555.0,141.0,334.0,36.63,23.24326941316845,5.0,-0.58,0.46,0.85,0.07,1
u8243474167060509946,2477.0,2742.0,-239.1259464050252,5.24,14.0,2.0,0.09,0.26,0.5532735797935848,0.64,0
u4546360904317527477,2288.0,5571.0,591.4239532992756,-2.0243168032672525,11.0,0.0,1.58,0.39,0.34,0.61,0
u3180453220313783010,2070.0,22716.47470689108,2002.0,170.26,16.853408567027884,4.0,-0.63,0.69,0.68,0.38,1
u6000997321739906038,578.0,0.0,3221.0,115.44,7.0,7.0,-0.75,0.63,0.77,0.75,1
u1229267323317166298,0.0,11936.0,6495.0,182.76775889443613,42.0,0.0,-1.6,1.31,0.93,0.2186785816708991,1
u7120132842917840290,2604.6568689332908,2361.0,2244.0,3.05,13.0,2.9643737114368944,-0.57,1.08,0.1,0.71,0
