id,label,account_age_days,followers_count,following_count,post_frequency_per_day,avg_word_count_per_post,avg_hashtags_per_post,avg_sentiment_score,reply_to_post_ratio,urls_per_post_ratio,bio_complexity_score
u5272798802418388161,1,893,24660,4377,120.64,12,3,0.05,1.44,0.85,0.31
u4593818579113302616,0,3211,1451,2083,5.27,14,0,-0.34,0.16,0.28,0.28
u9380500167756234426,0,1581,1634,0,3.23,27,3,0.43,0.21,0.14,0.63
u1486679646281563909,1,1549,3494,5457,56.29,33,8,1.05,0.24,0.86,0.61
u8766846245146591166,0,1481,2277,4201,0.0,24,2,0.7,0.57,0.22,0.79
u3597590058361948325,0,2429,740,597,9.63,6,0,-0.16,0.53,0.22,0.0
u7941563197772488996,1,1666,237,7478,118.77,39,3,0.12,0.71,0.84,0.77
u5041591111347358747,0,2733,0,1827,0.0,26,0,-0.41,0.93,0.43,0.88
u3130884516332323930,1,1582,0,1239,7.75,41,0,0.33,1.05,0.9,0.49
u4086636508859028297,1,147,337,4248,64.85,47,2,1.18,0.71,0.63,0.3
u3784889311267401286,0,1886,4137,2286,0.2,26,0,-0.01,0.32,0.13,0.56
u4069181448854990259,1,781,0,3691,73.56,43,4,0.38,0.68,0.61,0.59
u5913202033190391120,0,2792,1283,2247,9.14,19,1,-0.18,0.34,0.8,0.47
u1070338872939570719,0,1542,3375,1424,8.11,28,0,0.12,0.57,0.26,0.71
u4808934926871066295,0,1853,1958,1319,4.24,25,3,-0.58,0.45,0.22,0.23
u9297404535212884028,1,1283,207,2686,0.0,38,3,0.17,1.44,0.58,0.29
u8243474167060509946,0,2675,2532,3040,9.91,16,1,0.1,0.32,0.34,0.51
u4546360904317527477,0,1848,3426,707,9.42,13,3,-0.16,0.35,0.41,0.36
u3180453220313783010,1,0,10552,5841,21.51,43,4,0.14,0.53,0.61,0.57
u6000997321739906038,1,879,16833,3994,106.8,6,6,-0.92,1.57,0.48,0.34
u1229267323317166298,1,927,0,4828,0.63,45,5,1.76,0.65,0.48,0.51
u7120132842917840290,0,319,1739,1037,5.26,9,2,-0.31,1.01,0.11,0.28
u9458441319076373781,1,210,0,6342,165.24,70,2,-0.62,1.47,0.88,0.46
u2401815088772335192,1,406,253,1534,182.17,37,4,2.0,0.53,0.39,0.44
u3262666648308457633,1,0,20575,4991,138.36,13,4,-2.03,1.34,0.63,0.16
u9618085777478996509,0,3379,6277,999,7.34,26,1,1.09,0.2,0.02,0.22
u6970540406317266657,1,678,104,6470,0.0,42,5,-1.05,0.76,0.81,0.19
u7830401969991132760,1,373,200,3338,81.57,1,8,-1.64,0.0,0.49,0.71
u3748416066157339855,1,992,2084,273,128.31,12,6,-0.17,1.36,0.76,0.17
u6331452145643387950,0,981,487,0,8.22,7,1,0.45,0.85,0.15,0.71
u8984615740138364339,1,1669,3034,1573,95.6,49,2,0.06,1.11,0.65,0.72
u5736548645072795062,1,0,24575,3660,74.28,15,0,-0.71,1.36,0.69,0.38
u1131736706230600404,0,4324,321,0,8.24,29,0,0.02,0.41,0.07,0.1
u2931878239741058507,1,897,13974,5324,47.0,28,0,1.29,0.77,0.78,0.12
u8629699926628379954,1,1719,1914,2040,130.63,34,4,0.51,1.09,0.78,0.53
u5605135827802868786,0,2644,4232,1337,3.0,16,0,0.46,0.81,0.53,0.0
u2602381776919675871,0,560,2923,729,0.0,26,0,-0.84,0.46,0.15,0.71
u6630453197203911525,1,1828,381,7896,97.52,3,5,1.02,0.25,0.75,0.37
u9654194688370056454,1,774,21939,0,42.71,0,5,0.81,0.76,0.74,0.52
u4756772919385158153,0,3427,2731,1052,14.11,2,1,0.05,0.27,0.43,0.18
u6019625424317328398,0,1277,3112,0,6.59,24,1,-0.1,0.0,0.19,1.06
u2692371791158427301,1,1715,16368,5060,8.31,6,3,0.45,0.8,0.8,0.23
u1098709403396489815,0,2472,2549,0,5.25,19,0,0.38,0.36,0.27,0.49
u6991070727111087384,1,1603,110,6390,135.88,47,6,1.78,0.86,0.6,0.34
u4492743917696058949,1,0,32,8790,126.22,9,6,1.94,0.72,0.58,0.3
u2844961222210431003,1,1161,5743,4771,211.43,44,0,0.55,0.65,0.68,0.42
u5202476144871762559,0,1644,6931,2248,9.13,32,2,-0.09,0.47,0.21,0.88
u6432306727021541097,0,2575,1507,280,4.6,26,3,0.64,0.2,0.35,0.8
u4973391851873250162,1,1195,19,4339,175.32,48,12,1.07,0.88,0.5,0.12
u2434895865528661529,0,1874,0,0,6.65,26,0,-0.62,0.66,0.35,0.88
u6562599176100702694,0,1385,3591,1099,7.46,32,0,0.33,0.5,0.41,0.85
u6618797374143164823,0,534,739,2249,4.0,26,0,-0.74,0.6,0.34,0.57
u1206982508032968796,1,532,0,82,250.59,43,0,1.23,1.16,0.71,0.56
u5971953665412440001,1,1262,3258,3117,189.19,6,5,0.16,1.33,0.5,0.48
u6513299542447162913,0,1314,7199,2266,5.91,5,1,0.23,0.79,0.3,0.34
u1179196217278937177,0,2723,0,0,8.92,11,0,0.37,0.98,0.19,0.95
u2411367118358737590,0,1906,4113,949,4.38,12,0,0.4,0.67,0.16,0.65
u5794348800375958039,1,0,28832,3010,0.0,44,3,-1.31,1.59,0.76,0.34
u4582054391262489603,1,1017,199,8136,135.79,6,6,-0.01,0.77,0.91,0.2
u4477790898436443856,0,2138,863,412,6.61,6,1,0.47,0.23,0.1,0.63
u2108343754427924537,1,263,0,2619,70.69,6,6,0.41,0.97,0.93,0.54
u2380187455794138425,0,1310,2519,0,9.33,4,1,0.91,0.9,0.63,0.58
u9888854330193754807,0,1658,3542,2653,5.78,21,3,1.05,0.13,0.53,0.59
u8900123483283325878,1,522,0,3629,48.81,9,3,0.46,1.19,0.81,0.74
u5534681073270366348,0,2156,1044,1648,2.79,21,4,-0.03,0.28,0.26,0.58
u7691403028465201006,1,1407,14050,6905,154.99,33,9,0.38,0.86,0.46,0.28
u1390148589522304314,1,74,11502,2468,124.17,6,0,-0.79,0.54,0.57,0.11
u7560063155428075566,1,1302,9787,3788,134.12,54,3,-2.28,1.36,0.69,0.62
u7099102869373800697,1,274,344,108,97.43,7,2,-0.83,1.02,0.7,0.58
u8282400340487138301,1,989,369,3748,149.72,6,0,0.07,0.53,0.41,0.11
u5118141294710051598,1,0,24,3820,39.01,24,0,-0.28,0.89,0.68,0.35
u6396200337047135370,1,1668,55,3101,12.68,36,3,2.01,0.95,0.38,0.38
u8675369616486873601,0,2437,6417,1339,6.69,29,0,0.79,0.74,0.02,0.18
u9736753369655858283,0,2269,3049,1769,0.22,15,4,0.33,0.55,0.23,0.24
u8455967302425707691,1,0,17486,0,233.37,31,3,-0.18,0.53,0.9,0.7
u3960716120667823295,1,631,198,3932,12.38,43,0,0.32,0.12,0.72,0.54
u7199499551711245113,1,266,15413,4734,125.49,61,2,0.55,0.65,0.53,0.52
u2014308617691867675,1,817,15870,6434,103.67,32,5,0.95,1.21,0.82,0.2
u8265676461448501140,0,2877,2243,652,3.47,23,1,-0.1,0.13,0.22,0.77
u9296936722396351275,1,1918,133,5188,70.24,43,2,-0.82,1.64,0.75,0.76
u9527668706963491315,1,0,26989,3570,228.3,49,9,0.09,1.2,0.7,0.09
u2134157662922180512,1,311,24135,5999,154.58,3,0,-1.0,1.47,0.89,0.13
u4284452257084210690,1,1086,241,4975,13.19,0,4,-1.1,0.61,0.73,0.36
u9883354690625706249,0,2065,8109,1555,6.17,15,2,-0.36,0.9,0.22,0.85
u8835293775506028805,0,949,1341,2250,0.0,9,1,-0.47,0.84,0.28,0.94
u5553317058127826809,0,1608,2391,409,8.02,31,0,0.69,0.52,0.1,0.48
u4099680515079805655,1,1268,21396,3057,134.59,26,2,0.4,0.53,0.69,0.03
u4447074302682268382,1,107,0,1624,57.95,6,7,-0.77,0.86,0.66,0.8
u8324989246128364798,0,4031,3927,975,4.07,19,0,0.06,0.44,0.26,0.78
u1437576945348739776,0,2664,0,6,0.26,10,2,-0.61,0.59,0.42,1.33
u4602735340693939685,0,884,3726,0,3.81,14,4,0.69,0.74,0.11,0.65
u8497016738157019011,0,2148,499,703,7.7,14,5,-0.67,0.41,0.51,0.69
u1321703734356736678,1,833,5807,2635,96.01,8,7,1.34,1.4,0.35,0.63
u3899063897417134647,0,1903,796,791,0.01,4,4,0.31,0.12,0.21,0.41
u7789843262505977630,1,2349,176,3301,107.61,25,5,0.02,0.67,0.63,0.54
u5471593978761231392,0,2147,3746,255,5.33,27,0,0.11,0.11,0.27,0.35
u4788088111391876302,1,2125,32411,4974,121.1,38,6,-0.5,0.91,0.6,0.6
u5866712510521833257,0,3775,1873,1662,2.13,18,0,0.13,0.01,0.58,0.83
u3791483657830092838,0,2869,1016,1355,5.92,14,1,0.2,0.75,0.11,0.46
u9520098329952946915,1,0,0,622,83.68,49,1,-0.85,1.74,0.6,0.32
u3787477543025742820,1,387,20451,6223,141.94,3,1,-0.21,1.27,0.43,0.6
u7883787601345904355,0,475,1492,911,4.48,28,3,0.46,0.67,0.5,0.59
u8751810923615909953,0,2307,4909,415,8.75,15,2,-0.07,0.28,0.19,1.03
u5626833167404448341,1,0,18873,6636,29.66,54,4,0.02,1.08,0.84,0.39
u2979807557851294446,1,1653,17874,8598,0.0,50,5,0.99,0.66,0.88,0.37
u7478905808401018491,0,2189,1294,682,5.33,3,0,-0.74,0.69,0.27,0.0
u8764491225598851714,1,965,239,7103,254.04,22,6,-1.68,0.81,0.84,0.28
u8925655505012678933,1,1352,272,1148,74.31,36,2,1.46,0.68,0.79,0.65
u5598083624031903757,0,1937,1940,382,0.0,18,0,0.04,0.24,0.03,0.82
u7608710079076560128,1,750,20459,5899,233.31,44,2,-0.99,1.12,0.76,0.57
u5839658460804410882,1,405,59,2092,22.6,49,1,0.38,1.52,0.41,0.49
u7877102904308080695,0,1510,4237,2064,3.18,8,2,-0.29,0.83,0.4,0.58
u1916454504728049996,0,1175,81,1278,2.43,27,3,-0.19,0.0,0.36,0.54
u3698046243184302631,0,2899,2990,1289,3.3,10,1,0.61,0.25,0.34,0.29
u7030618932606580317,0,4047,202,0,4.05,27,1,-0.83,0.45,0.07,0.3
u6817567555527080838,1,686,14204,3264,203.79,30,4,-0.5,0.69,0.83,0.22
u1895505068400626187,1,139,236,5223,117.75,5,4,0.6,1.08,0.91,0.46
